,company,ESG_Rank,topic_num_0,topic_num_1,topic_num_2,topic_num_3,topic_num_4,topic_num_5,topic_num_6,topic_num_7,topic_num_8,topic_num_9,topic_num_10,topic_num_11,topic_num_12,topic_num_13,topic_num_14,topic_num_15,topic_num_16,topic_num_17,topic_num_18,topic_num_19,topic_num_20,topic_num_21,topic_num_22,topic_num_23,topic_num_24,topic_num_25,topic_num_26,topic_num_27,topic_num_28,topic_num_29,topic_num_30,topic_num_31,topic_num_32,topic_num_33,topic_num_34,topic_num_35,topic_num_36,topic_num_37,topic_num_38,topic_num_39,topic_num_40,topic_num_41,topic_num_42,topic_num_43,topic_num_44,topic_num_45,topic_num_46,topic_num_47,topic_num_48,topic_num_49,topic_num_50,topic_num_51,topic_num_52,topic_num_53,topic_num_54,topic_num_55,topic_num_56,topic_num_57,topic_num_58,topic_num_59,ESG_Rating_band,E_Rank,E_Rating_band,S_Rank,S_Rating_band,G_Rank,G_Rating_band
31,«КамАЗ»,40,0.0,0.0,0.041657627363671346,0.017006655155999462,0.0,0.0,0.026889882837002242,0.017006655155999462,0.017006655155999462,0.017006655155999462,0.017006655155999462,0.017006655155999462,0.017006655155999462,0.024051042372216766,0.020828813681835673,0.03181653844438126,0.017006655155999462,0.017006655155999462,0.034013310311998925,0.041657627363671346,0.012025521186108383,0.024051042372216766,0.024051042372216766,0.03988414168279113,0.026889882837002242,0.03607656355832515,0.0,0.012025521186108383,0.012025521186108383,0.03802803699871209,0.012025521186108383,0.024051042372216766,0.017006655155999462,0.012025521186108383,0.026889882837002242,0.03607656355832515,0.0,0.024051042372216766,0.024051042372216766,0.012025521186108383,0.017006655155999462,0.017006655155999462,0.020828813681835673,0.012025521186108383,0.020828813681835673,0.017006655155999462,0.017006655155999462,0.012025521186108383,0.024051042372216766,0.029456390796994282,0.03181653844438126,0.03988414168279113,0.034013310311998925,0.0,0.017006655155999462,0.03181653844438126,0.012025521186108383,0.024051042372216766,0.020828813681835673,0.020828813681835673,BB,40,B,34,BBB,52,BBB
32,«Корпорация ВСМПО-АВИСМА»,102,0.0,0.0,0.017384076178023157,0.0,0.0,0.0,0.024584796300287384,0.024584796300287384,0.024584796300287384,0.0,0.024584796300287384,0.024584796300287384,0.017384076178023157,0.04258211628582912,0.030110103182983895,0.030110103182983895,0.0,0.024584796300287384,0.024584796300287384,0.0,0.017384076178023157,0.030110103182983895,0.034768152356046314,0.034768152356046314,0.017384076178023157,0.038871976060094515,0.0,0.017384076178023157,0.024584796300287384,0.034768152356046314,0.017384076178023157,0.030110103182983895,0.0,0.0,0.030110103182983895,0.05215222853406946,0.0,0.024584796300287384,0.024584796300287384,0.0,0.024584796300287384,0.024584796300287384,0.030110103182983895,0.0,0.024584796300287384,0.024584796300287384,0.024584796300287384,0.017384076178023157,0.024584796300287384,0.030110103182983895,0.04258211628582912,0.038871976060094515,0.030110103182983895,0.0,0.024584796300287384,0.030110103182983895,0.017384076178023157,0.045993942339651483,0.024584796300287384,0.024584796300287384,CC,135,C,97,CC,87,B
33,«Красноярский завод цветных металлов имени В.Н. Гулидова»,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018239188505486094,0.025794107751137895,0.0,0.018239188505486094,0.025794107751137895,0.025794107751137895,0.03647837701097219,0.025794107751137895,0.018239188505486094,0.0,0.0,0.018239188505486094,0.0,0.018239188505486094,0.018239188505486094,0.03647837701097219,0.025794107751137895,0.018239188505486094,0.04825635690114405,0.0,0.025794107751137895,0.018239188505486094,0.04467670516087704,0.018239188505486094,0.025794107751137895,0.0,0.018239188505486094,0.0,0.05767737835049857,0.0,0.031591201180328175,0.031591201180328175,0.0,0.025794107751137895,0.025794107751137895,0.025794107751137895,0.0,0.025794107751137895,0.025794107751137895,0.018239188505486094,0.025794107751137895,0.025794107751137895,0.040784065352699704,0.04467670516087704,0.04467670516087704,0.031591201180328175,0.0,0.018239188505486094,0.025794107751137895,0.018239188505486094,0.040784065352699704,0.0,0.025794107751137895,BB,32,BB,41,BB,78,B
34,«КуйбышевАзот»,93,0.0,0.0,0.01503122221281509,0.0,0.021257358312406823,0.0,0.026034840572453626,0.03006244442563018,0.026034840572453626,0.0,0.021257358312406823,0.026034840572453626,0.021257358312406823,0.03361083465275935,0.026034840572453626,0.01503122221281509,0.01503122221281509,0.026034840572453626,0.036818824631785235,0.01503122221281509,0.01503122221281509,0.0,0.026034840572453626,0.042514716624813646,0.0,0.045093666638445266,0.021257358312406823,0.026034840572453626,0.03361083465275935,0.042514716624813646,0.01503122221281509,0.026034840572453626,0.021257358312406823,0.01503122221281509,0.021257358312406823,0.05206968114490724,0.0,0.026034840572453626,0.021257358312406823,0.0,0.026034840572453626,0.026034840572453626,0.021257358312406823,0.0,0.03006244442563018,0.026034840572453626,0.01503122221281509,0.01503122221281509,0.01503122221281509,0.026034840572453626,0.042514716624813646,0.04753289820861186,0.03361083465275935,0.0,0.026034840572453626,0.03006244442563018,0.01503122221281509,0.036818824631785235,0.01503122221281509,0.026034840572453626,CCC,84,CC,93,CCC,88,B
35,«Лента» (сеть гипермаркетов),64,0.0,0.0,0.0,0.0,0.020942695414584774,0.0,0.029617443887954613,0.029617443887954613,0.020942695414584774,0.0,0.020942695414584774,0.029617443887954613,0.020942695414584774,0.04188539082916955,0.020942695414584774,0.0,0.0,0.029617443887954613,0.020942695414584774,0.0,0.0,0.0,0.020942695414584774,0.04188539082916955,0.0,0.055409163850364054,0.0,0.03627381250550059,0.020942695414584774,0.03627381250550059,0.020942695414584774,0.029617443887954613,0.0,0.0,0.0,0.05923488777590923,0.0,0.029617443887954613,0.04682929057908469,0.0,0.029617443887954613,0.020942695414584774,0.029617443887954613,0.0,0.029617443887954613,0.04188539082916955,0.020942695414584774,0.020942695414584774,0.020942695414584774,0.020942695414584774,0.04682929057908469,0.020942695414584774,0.029617443887954613,0.0,0.029617443887954613,0.0,0.020942695414584774,0.03627381250550059,0.0,0.020942695414584774,B,62,CC,46,BB,93,B
36,"«М.Видео-Эльдорадо», группа",76,0.0,0.0,0.025094280661424776,0.0,0.0177443360246919,0.0,0.0,0.025094280661424776,0.0177443360246919,0.0,0.0177443360246919,0.025094280661424776,0.025094280661424776,0.025094280661424776,0.030734091541341137,0.0,0.0,0.0,0.0177443360246919,0.0,0.0,0.0177443360246919,0.025094280661424776,0.05018856132284955,0.0354886720493838,0.04694710030129923,0.0,0.0177443360246919,0.025094280661424776,0.04694710030129923,0.0177443360246919,0.030734091541341137,0.0,0.0,0.0,0.05885130474788955,0.0,0.025094280661424776,0.030734091541341137,0.0,0.030734091541341137,0.0354886720493838,0.030734091541341137,0.0,0.0177443360246919,0.030734091541341137,0.0177443360246919,0.025094280661424776,0.025094280661424776,0.0177443360246919,0.0354886720493838,0.0354886720493838,0.030734091541341137,0.0,0.030734091541341137,0.0177443360246919,0.030734091541341137,0.0354886720493838,0.0,0.0,CCC,97,C,91,CCC,62,BB
37,«МОСКОВСКИЙ КРЕДИТНЫЙ БАНК»,7,0.0,0.02075466156648133,0.017974064163521368,0.010377330783240666,0.010377330783240666,0.02075466156648133,0.02320441705632726,0.02320441705632726,0.02320441705632726,0.0,0.0,0.017974064163521368,0.02075466156648133,0.02745583652510993,0.02745583652510993,0.0,0.0,0.0,0.02075466156648133,0.010377330783240666,0.017974064163521368,0.017974064163521368,0.02075466156648133,0.02745583652510993,0.017974064163521368,0.02935152386978152,0.010377330783240666,0.02075466156648133,0.02320441705632726,0.03441771253341421,0.02745583652510993,0.031131992349721995,0.0,0.0,0.010377330783240666,0.032816001308019586,0.02320441705632726,0.014675761934890761,0.02320441705632726,0.014675761934890761,0.04278683093127491,0.025419165311016133,0.02320441705632726,0.010377330783240666,0.032816001308019586,0.014675761934890761,0.02935152386978152,0.010377330783240666,0.02075466156648133,0.03594812832704274,0.02320441705632726,0.02320441705632726,0.017974064163521368,0.02935152386978152,0.017974064163521368,0.014675761934890761,0.025419165311016133,0.02075466156648133,0.02075466156648133,0.0,AA,7,A,10,A,17,AA
38,"«Магнит», розничная сеть",79,0.0,0.0,0.0,0.0,0.027756369082668444,0.0,0.027756369082668444,0.027756369082668444,0.027756369082668444,0.0,0.0,0.027756369082668444,0.0,0.027756369082668444,0.027756369082668444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04807544148481571,0.039253433598942976,0.0,0.027756369082668444,0.0,0.027756369082668444,0.039253433598942976,0.04807544148481571,0.027756369082668444,0.039253433598942976,0.0,0.0,0.0,0.0679889413649005,0.0,0.039253433598942976,0.027756369082668444,0.0,0.039253433598942976,0.039253433598942976,0.039253433598942976,0.0,0.027756369082668444,0.039253433598942976,0.039253433598942976,0.027756369082668444,0.027756369082668444,0.0,0.027756369082668444,0.039253433598942976,0.0,0.0,0.0,0.0,0.027756369082668444,0.039253433598942976,0.0,0.0,CCC,55,CCC,81,CCC,105,CCC
39,«Международный аэропорт Шереметьево»,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,CCC,61,CC,99,CC,106,CCC
40,«Метафракс кемикалс»,85,0.0,0.0,0.0,0.0,0.02328100985898594,0.0,0.03292431988831965,0.03292431988831965,0.0403238919272756,0.0,0.03292431988831965,0.03292431988831965,0.03292431988831965,0.04656201971797188,0.0,0.0,0.0,0.0,0.03292431988831965,0.03292431988831965,0.03292431988831965,0.0,0.03292431988831965,0.0615957623573197,0.0,0.0615957623573197,0.0,0.03292431988831965,0.02328100985898594,0.052057920629535355,0.02328100985898594,0.02328100985898594,0.0,0.0,0.0,0.05702659485122012,0.0,0.03292431988831965,0.02328100985898594,0.02328100985898594,0.03292431988831965,0.03292431988831965,0.03292431988831965,0.0,0.03292431988831965,0.03292431988831965,0.02328100985898594,0.02328100985898594,0.03292431988831965,0.0403238919272756,0.04656201971797188,0.052057920629535355,0.04656201971797188,0.0,0.02328100985898594,0.04656201971797188,0.0,0.05702659485122012,0.0,0.0,CCC,83,CC,67,B,107,CCC
41,«Мечел»,112,0.0,0.0,0.0,0.0,0.0,0.0,0.023287321641631116,0.03293324609693921,0.03293324609693921,0.0,0.0,0.03293324609693921,0.023287321641631116,0.052072034204589175,0.03293324609693921,0.0,0.0,0.0,0.040334824255503374,0.023287321641631116,0.023287321641631116,0.0,0.0,0.04657464328326223,0.0,0.040334824255503374,0.0,0.023287321641631116,0.03293324609693921,0.052072034204589175,0.023287321641631116,0.023287321641631116,0.023287321641631116,0.0,0.0,0.06161246176452835,0.0,0.03293324609693921,0.03293324609693921,0.0,0.023287321641631116,0.03293324609693921,0.03293324609693921,0.0,0.03293324609693921,0.03293324609693921,0.023287321641631116,0.023287321641631116,0.023287321641631116,0.0,0.052072034204589175,0.04657464328326223,0.03293324609693921,0.0,0.023287321641631116,0.0,0.0,0.03293324609693921,0.0,0.040334824255503374,CC,117,C,123,CC,95,B
42,«Монди СЛПК»,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCC,85,CC,117,CC,71,BB
43,«Новая горная управляющая компания»,129,0.0,0.0,0.03564615028997595,0.0,0.02520563459323681,0.0,0.02520563459323681,0.03564615028997595,0.02520563459323681,0.0,0.0,0.03564615028997595,0.02520563459323681,0.05041126918647362,0.0,0.0,0.0,0.0,0.02520563459323681,0.03564615028997595,0.0,0.0,0.05041126918647362,0.061740943396474415,0.0,0.061740943396474415,0.0,0.03564615028997595,0.02520563459323681,0.056361512366497765,0.02520563459323681,0.02520563459323681,0.03564615028997595,0.0,0.0,0.056361512366497765,0.0,0.03564615028997595,0.02520563459323681,0.0,0.03564615028997595,0.02520563459323681,0.04365743975250186,0.0,0.02520563459323681,0.04365743975250186,0.04365743975250186,0.02520563459323681,0.02520563459323681,0.02520563459323681,0.04365743975250186,0.02520563459323681,0.03564615028997595,0.0,0.0,0.05041126918647362,0.02520563459323681,0.061740943396474415,0.0,0.03564615028997595,CC,131,C,109,CC,136,CC
44,«Новороссийский морской торговый порт»,142,0.0,0.0,0.0,0.0,0.0,0.0,0.02509428066142478,0.0354886720493838,0.02509428066142478,0.0,0.02509428066142478,0.0354886720493838,0.02509428066142478,0.04346456908498086,0.0354886720493838,0.0,0.0,0.0,0.04346456908498086,0.0,0.0,0.02509428066142478,0.0354886720493838,0.05611251740540419,0.0,0.05018856132284956,0.0,0.0354886720493838,0.0354886720493838,0.061468183082682266,0.02509428066142478,0.0354886720493838,0.02509428066142478,0.0,0.0,0.06639322596018742,0.0,0.0354886720493838,0.02509428066142478,0.0,0.0354886720493838,0.0354886720493838,0.0354886720493838,0.0,0.0354886720493838,0.04346456908498086,0.02509428066142478,0.02509428066142478,0.0354886720493838,0.0354886720493838,0.04346456908498086,0.0354886720493838,0.0354886720493838,0.0,0.02509428066142478,0.04346456908498086,0.0,0.04346456908498086,0.0,0.0354886720493838,C,93,C,107,CC,155-156,C
45,"«Норильский никель», горно-металлургическая компания",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07647191129018725,0.07647191129018725,0.0,0.0,0.0,0.0,0.108147614087175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07647191129018725,0.0,0.108147614087175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07647191129018725,0.0,0.07647191129018725,0.07647191129018725,0.0,0.0,0.0,0.108147614087175,0.0,0.07647191129018725,0.07647191129018725,0.07647191129018725,0.0,0.0,0.0,0.108147614087175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,12,A,12,A,11,AA
46,«Полиметалл»,6,0.0,0.0,0.024439725920764106,0.0,0.01545703985997408,0.0,0.018930930295398624,0.01545703985997408,0.01545703985997408,0.0,0.01545703985997408,0.010929777702058436,0.010929777702058436,0.026772378372092436,0.018930930295398624,0.030914079719948164,0.024439725920764106,0.0,0.024439725920764106,0.032789333106175315,0.018930930295398624,0.010929777702058436,0.024439725920764106,0.026772378372092436,0.01545703985997408,0.032789333106175315,0.0,0.01545703985997408,0.0,0.026772378372092436,0.010929777702058436,0.01545703985997408,0.026772378372092436,0.010929777702058436,0.02185955540411687,0.030914079719948164,0.0,0.02185955540411687,0.01545703985997408,0.010929777702058436,0.01545703985997408,0.01545703985997408,0.018930930295398624,0.0,0.01545703985997408,0.018930930295398624,0.010929777702058436,0.010929777702058436,0.01545703985997408,0.0,0.030914079719948164,0.028917473684865632,0.01545703985997408,0.0,0.018930930295398624,0.02185955540411687,0.018930930295398624,0.018930930295398624,0.02185955540411687,0.01545703985997408,AA,16,BBB,4,AA,9,AA
47,«Полюс»,3,0.0,0.0,0.01868261597357436,0.0,0.01868261597357436,0.0,0.026421208890437083,0.026421208890437083,0.01868261597357436,0.0,0.026421208890437083,0.026421208890437083,0.01868261597357436,0.04177559931443568,0.026421208890437083,0.0,0.0,0.0,0.01868261597357436,0.01868261597357436,0.01868261597357436,0.026421208890437083,0.03736523194714872,0.04942955570620061,0.0,0.04177559931443568,0.0,0.03736523194714872,0.01868261597357436,0.04942955570620061,0.01868261597357436,0.026421208890437083,0.026421208890437083,0.01868261597357436,0.0,0.04942955570620061,0.0,0.026421208890437083,0.026421208890437083,0.0,0.026421208890437083,0.026421208890437083,0.026421208890437083,0.0,0.026421208890437083,0.026421208890437083,0.026421208890437083,0.026421208890437083,0.01868261597357436,0.026421208890437083,0.04576287619562756,0.03736523194714872,0.026421208890437083,0.0,0.01868261597357436,0.026421208890437083,0.01868261597357436,0.03736523194714872,0.0,0.026421208890437083,AA,1,AA,2,AA,14,AA
48,«Промышленно-металлургический холдинг» (ПМХ),135,0.0,0.0,0.02231609213387259,0.0,0.031559720154890156,0.0,0.031559720154890156,0.031559720154890156,0.031559720154890156,0.0,0.0,0.031559720154890156,0.02231609213387259,0.04990029900348744,0.0,0.0,0.0,0.0,0.02231609213387259,0.02231609213387259,0.0,0.0,0.03865260540225549,0.031559720154890156,0.02231609213387259,0.05466303878092527,0.02231609213387259,0.04990029900348744,0.02231609213387259,0.03865260540225549,0.02231609213387259,0.02231609213387259,0.03865260540225549,0.02231609213387259,0.031559720154890156,0.06694827640161775,0.0,0.02231609213387259,0.031559720154890156,0.0,0.031559720154890156,0.031559720154890156,0.031559720154890156,0.0,0.02231609213387259,0.031559720154890156,0.0,0.02231609213387259,0.02231609213387259,0.031559720154890156,0.04990029900348744,0.04463218426774518,0.031559720154890156,0.0,0.0,0.02231609213387259,0.02231609213387259,0.04990029900348744,0.0,0.031559720154890156,CC,111,C,114,CC,148,CC
