,topic_name,topic_num,topics_words
21,Профсоюзы и коллективные договоры,21,"['наработекакдом', 'работисходящии', 'работыввести', 'развитияработа', 'наработка', 'работыхотить', 'работераздать', 'работазапчасть', 'работеначать', 'инициативработа', 'эдоработа', 'проектавключать', 'работоснование', 'работаотвечать', 'работыполучение', 'работаясти', 'экструдирование', 'работадатель', 'проектародиться', 'доработка', 'скфработа', 'разрабатывание', 'приработка', 'работыпо', 'проектабланк', 'проектовстать', 'наниматьработа', 'работупрактика', 'темуработа', 'проработка', 'работыпериод', 'работыпроходить', 'работыкадровыи', 'работаемвыбор', 'работаетопция', 'проектывложить', 'работыпнпт', 'трудоустроить', 'проектного', 'оооработать', 'проектировочныи', 'реализовывать', 'работыдругии', 'работыкатегория', 'программыхотать', 'работыдеть', 'заданиюанкета', 'реализовываться', 'работаемести', 'заданиеплан']"
22,Налоги,22,"['нормативов', 'нормативнои', 'норматив', 'нормативныи', 'нормативтк', 'законодательныи', 'нормоконтроль', 'правонарушение', 'правомерность', 'нормировщик', 'неправомерность', 'законодательно', 'нормотворческии', 'законаобщии', 'законодатель', 'правилподача', 'нормализация', 'нормироваться', 'правопреемник', 'нормирование', 'правилкомитет', 'правоведение', 'коррупциикак', 'правопреемство', 'законность', 'криминализация', 'законао', 'регламент', 'незаконность', 'неправомерныи', 'дебиторамспособ', 'законас', 'законопослушныи', 'законовма', 'нормандия', 'коррупциия', 'коррупцииести', 'вправе', 'правопорядок', 'законучто', 'коррупциизадача', 'противозаконныи', 'регулировочныи', 'регламентапри', 'правоотношение', 'коррупциичитать', 'коррупционныи', 'правилпорядок', 'правомерныи', 'нормировать']"
23,Отношения с работниками,23,"['конкурсовзабота', 'конкурсу', 'конкурсе', 'конкурс', 'конкурсать', 'конкурсаа', 'конкурсовгрант', 'конкурса', 'конкурсыкарьер', 'конкурсаввод', 'конкурсапыи', 'лауреат', 'конкурсант', 'победитель', 'конкурсшкола', 'конкурсашкола', 'конкурсноигров', 'премия', 'наградустудент', 'конкурсныи', 'победительотказ', 'награждение', 'турнирамемориал', 'наград', 'награждения', 'наградынаград', 'победительница', 'премиис', 'награда', 'наградамиуже', 'премию', 'премии', 'конкурентное', 'соревнование', 'победоносец', 'выиграть', 'награды', 'победы', 'победыг', 'наградыпо', 'итсоревнование', 'победыть', 'победа', 'наградылучшать', 'конкурент', 'победамидести', 'соревнованиипо', 'награднои', 'турнир', 'конкурентнои']"
24,Трудовые отношения,24,"['соавторство', 'упрощнныи', 'урезультат', 'приоритезация', 'привелегии', 'оотношение', 'приствольныи', 'оонуправление', 'выдачаприм', 'упрощнно', 'починочныи', 'ствсалда', 'сдержанно', 'вартсть', 'вкрешение', 'скрепочныи', 'втбзаявление', 'отсадочныи', 'ориентировочныи', 'дезсредство', 'обшежитие', 'сутьстрахование', 'сличительныи', 'развртывание', 'подопечнымиести', 'примочныи', 'совокупность', 'депонент', 'окладпремия', 'средствнастрыть', 'допонения', 'спускподъм', 'ориентировочно', 'подотчести', 'приусадебныи', 'проточныи', 'впередистоящии', 'преумножение', 'заболоченность', 'вэдновость', 'преумножить', 'возращение', 'участное', 'нацеленныхн', 'обртывание', 'соостветствие', 'затребование', 'аведента', 'безусловность', 'сущетвенныи']"
25,Профсоюзы и коллективные договоры,25,"['трудкрутпрофи', 'опытработа', 'профессионализм', 'специалист', 'умениеработать', 'профессионал', 'трудкрутюниор', 'трудолюбивыи', 'специалистовва', 'карьерыпострыть', 'непрофессионал', 'трудоустраивать', 'профессионально', 'специалистов', 'трудолюбие', 'трудиться', 'профессионаловс', 'трудоустроиться', 'специалистовдо', 'профориентация', 'квалифицировать', 'трудкрутстудент', 'работниковдлить', 'карьерапочии', 'специалисты', 'работника', 'работник', 'карьерыть', 'вакансииболее', 'шефствовать', 'работыработать', 'персоналалюдить', 'работеработник', 'трудоустроиство', 'квалификации', 'сотрудникать', 'специалистапо', 'заявкусотрудник', 'карьерногорост', 'квалификациима', 'карьерныи', 'умапрофессия', 'сотрудниковить', 'сотрудникачтоба', 'самозанятостис', 'персоналаиль', 'карьеры', 'специальность', 'стажировка', 'экспертовработа']"
26,Газ,26,"['нефтегазпромтех', 'нефтегазоносныи', 'нефтегазоноснои', 'нефтепромысел', 'рнуватнефтегаз', 'нефтепромхии', 'нефтегаз', 'нефтегазвыи', 'устькутнефтегаз', 'нефтегазодобыча', 'нефтегазодобычи', 'бурнефтегаз', 'нефтепромлизинг', 'газпромнефтьга', 'газлифтныи', 'нефтехранилище', 'нефтегазовыи', 'сургутнефтегаз', 'востсибнефтегаз', 'нефтеперегонка', 'газпромнефть', 'нефтепродукто', 'тюменнефтегаз', 'нефтеналивнои', 'нефтегазопровод', 'нефтегазсервис', 'нефтепромбанккб', 'нефтехимиис', 'нефтеразведка', 'севкомнефтегаз', 'роснефтегаз', 'нефтебазамна', 'нефтеотдача', 'нефтеразлив', 'газпромнефтьдо', 'нефтеконденсат', 'нефтехимиять', 'нефтедобычныи', 'нефтедобыча', 'нефтеналив', 'газоснабжающии', 'нефтегазо', 'нефтедобытчик', 'газопромысловыи', 'газотопливныи', 'нефтехимиикурс', 'газыжидкии', 'нефтьооо', 'нефтьоыи', 'газоснабжение']"
27,Экологический менеджмент,27,"['экологическии', 'экологически', 'экологииао', 'экологии', 'экология', 'экологичность', 'экологизация', 'эколог', 'кбэкологическии', 'экологиянаш', 'экологиить', 'экологичныи', 'экологизировать', 'экологияцель', 'природоохранныи', 'агроэкология', 'экологист', 'экосреда', 'экозона', 'экосообщество', 'экотропа', 'экосистемуболее', 'экосистемно', 'экосистеме', 'окружающеисреда', 'экосистем', 'экосфера', 'экокультура', 'экосистемысво', 'природозащитныи', 'экобалта', 'экоактивист', 'экотребование', 'экосистема', 'экотехнологиях', 'экотехнология', 'экосистемам', 'экосистемытовар', 'экобросок', 'экорегион', 'экосознание', 'экосистемныи', 'экоцентр', 'окружающеи', 'экообразование', 'экобезопасность', 'экотуризм', 'нлмкэкология', 'средыпремия', 'экопарк']"
28,Безопасность и охрана здоровья,28,"['данныхсообщить', 'поинформация', 'уинформация', 'втбсообщить', 'заявкуподписать', 'данныеподписать', 'заявлениеоферт', 'информациядоля', 'информирование', 'информациядать', 'смсуведомление', 'информацииотчт', 'заявкуподробныи', 'информирова', 'информацть', 'уведомленииотчт', 'информациидат', 'данныхзапрос', 'сообщитьнаш', 'информацииоб', 'сведенияраздел', 'информациякак', 'информациядлить', 'информированныи', 'информацияпуть', 'информациоонои', 'внесписочныи', 'информациио', 'информировать', 'информациикак', 'сеичасподписать', 'заявкивыяснить', 'заявлениедля', 'заявкуоформить', 'заявкаоформить', 'информациять', 'информацияпо', 'информациивыи', 'информ', 'информациеиещ', 'информациюдлить', 'информациидоля', 'информациина', 'втбподписать', 'заявлениеанкет', 'втбпаозаявление', 'информацииот', 'сообщениеотчт', 'ссылкеоформить', 'ообщаета']"
29,Отношения с работниками,29,"['соцкультбыт', 'годадеиствовать', 'волонтерство', 'получитьлично', 'добровольность', 'поучаствовать', 'селосвежии', 'простоработать', 'областьд', 'трудая', 'получитьдлить', 'трудиться', 'область', 'лагерь', 'участиядлить', 'стажироваться', 'негодность', 'успехадлить', 'способствовать', 'годуучастник', 'годстрахование', 'село', 'добровольнуть', 'заимствовать', 'смелость', 'участии', 'коллективомть', 'городподходить', 'затруднение', 'лишьдеиствовать', 'нерезидент', 'годсотрудник', 'умениеработать', 'неполучение', 'конкурсстоять', 'неспособность', 'льгота', 'затруднять', 'благополучатель', 'трудапереть', 'учувствовать', 'продвигать', 'ветеранучастник', 'участвовать', 'сопутствовать', 'волонтеров', 'волонтерылидер', 'областьмать', 'неспешно', 'ютсяучаствовать']"
30,Отношения с потребителями,30,"['услугудосрочныи', 'услугуподписать', 'услугамзадать', 'услугупомощь', 'услугувыдача', 'услугувалютныи', 'услугуоставить', 'услугподключить', 'сервисапродажа', 'сервисыраздел', 'услугвыполнение', 'услугполучить', 'услугпомочь', 'услугкомиссия', 'сервисоввыбрать', 'услугунаправить', 'сервисапри', 'услугизакупать', 'услугоипозвонит', 'сервисеещыи', 'услугполныи', 'обслуживаниемво', 'сервисыучастник', 'услугуотправить', 'услугобладать', 'услугпереть', 'услугумныи', 'услугумкб', 'сервисыкешбэк', 'сервисоплатить', 'услугучитывать', 'услугкак', 'заявкууслуга', 'услугпо', 'сервисаосновныи', 'услугдата', 'обслуживаниесчт', 'сервисахкаким', 'обслуживаниидат', 'сервисплатежныи', 'услугуфиксация', 'сервисахбыть', 'услугиперевести', 'сервисыумныи', 'услуга', 'услугименючтыи', 'сервисаостаться', 'абонентомможныи', 'услугперевод', 'услугввести']"
